ngpus,numa_nodes,numa_weight,update_size(bytes),avg_latency(ms)
1,"0,3","1,1",5242880,0.372647
1,"0,3","1,1",20971520,2.074928
1,"0,3","1,1",73400320,13.258038
1,"0,3","1,1",671088640,138.926295
1,"0,3","1,2",5242880,0.387086
1,"0,3","1,2",20971520,2.767272
1,"0,3","1,2",73400320,17.756514
1,"0,3","1,2",671088640,175.588529
1,"0,3","1,3",5242880,0.392003
1,"0,3","1,3",20971520,3.109619
1,"0,3","1,3",73400320,19.385301
1,"0,3","1,3",671088640,200.241537
1,"0,3","1,4",5242880,0.396765
1,"0,3","1,4",20971520,3.330359
1,"0,3","1,4",73400320,20.839248
1,"0,3","1,4",671088640,216.251592
2,"0,3","1,1",5242880,17.685064
2,"0,3","1,1",20971520,17.989313
2,"0,3","1,1",73400320,25.783947
2,"0,3","1,1",671088640,169.048671
2,"0,3","1,2",5242880,16.709757
2,"0,3","1,2",20971520,16.718581
2,"0,3","1,2",73400320,29.379389
2,"0,3","1,2",671088640,209.070485
2,"0,3","1,3",5242880,17.707968
2,"0,3","1,3",20971520,17.163624
2,"0,3","1,3",73400320,32.115327
2,"0,3","1,3",671088640,228.148546
2,"0,3","1,4",5242880,17.076148
2,"0,3","1,4",20971520,17.571533
2,"0,3","1,4",73400320,32.297251
2,"0,3","1,4",671088640,239.994699
