ngpus,numa_nodes,numa_weight,update_size(bytes),avg_latency(ms)
1,"0,3","1,1",1835008,0.477450
1,"0,3","1,1",12845056,0.753121
1,"0,3","1,1",67895296,12.033218
1,"0,3","1,1",544997376,106.752929
1,"0,3","1,2",1835008,0.178592
1,"0,3","1,2",12845056,0.730850
1,"0,3","1,2",67895296,16.688393
1,"0,3","1,2",544997376,143.267500
1,"0,3","1,3",1835008,0.176618
1,"0,3","1,3",12845056,0.751793
1,"0,3","1,3",67895296,17.791501
1,"0,3","1,3",544997376,163.586206
1,"0,3","1,4",1835008,0.176211
1,"0,3","1,4",12845056,0.737261
1,"0,3","1,4",67895296,18.955643
1,"0,3","1,4",544997376,177.904255
2,"0,3","1,1",1835008,17.933446
2,"0,3","1,1",12845056,17.413733
2,"0,3","1,1",67895296,23.965948
2,"0,3","1,1",544997376,149.700285
2,"0,3","1,2",1835008,17.489174
2,"0,3","1,2",12845056,18.349705
2,"0,3","1,2",67895296,27.771135
2,"0,3","1,2",544997376,180.794331
2,"0,3","1,3",1835008,16.775968
2,"0,3","1,3",12845056,17.380976
2,"0,3","1,3",67895296,31.029020
2,"0,3","1,3",544997376,195.767407
2,"0,3","1,4",1835008,17.800559
2,"0,3","1,4",12845056,17.145156
2,"0,3","1,4",67895296,31.144967
2,"0,3","1,4",544997376,205.972453
